Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00011278,-0.031222,0.00027074,0,0,0,0.98057,0.00071054,1.105E-07,1.0253E-06,0.0011485,-3.0485E-08,0.00074176,0,0,0,0,0,0,package://X78009RIGHTB/meshes/base_link.STL,0.84706,0.84706,0.84706,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/base_link.STL,,8009电机固定a-1;DM 8009电机带质量-1/DM 8116 __________^DM 8009电机带质量-1;DM 8009电机带质量-1/DM 8116 ________^DM 8009电机带质量-1;8009限位右-1,baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.0224120198552404,0.0243259050011737,-2.45029690981724E-17,0,0,0,0.129445047995555,0.000116633758953385,-3.12149540111574E-05,-2.7814103573061E-21,8.29361051900362E-05,-7.74891950961769E-21,0.000130781303814024,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link1.STL,,L连接座-ckbf-1,coordinate1,A1,joint1,revolute,0,-0.0617,0,-3.1416,0,0,base_link,0,1,0,100,1000,-10,10,,,,,,,,
link2,0.024713414688691,0.00294494092161987,-0.0271690495859664,0,0,0,0.974393932799189,0.000587023841965646,6.13527591679794E-08,-1.08576205794877E-06,0.000476804984890313,3.66359667100993E-05,0.000523195062592784,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link2.STL,,肩部-V3-bv2bf右b-1;通用大电机kcbf-2/大电机通用座kcbf-1;肩部roll限位-1;通用大电机kcbf-2/DMDbf-1/DMSDbf-1;通用大电机kcbf-2/DMDbf-1/DMDDbf-1;通用大电机kcbf-3/大电机通用座kcbf-1;通用大电机kcbf-3/DMDbf-1/DMSDbf-1;通用大电机kcbf-3/DMDbf-1/DMDDbf-1,coordinate2,A2,joint2,revolute,0.02725,0.0585,0,3.1416,0,-3.1416,link1,1,0,0,100,1000,-10,10,,,,,,,,
link3,-0.000221148954712119,-0.000502285161927407,0.156409631494258,0,0,0,0.867040530400946,0.00157612573320015,-5.81082299337522E-09,3.82654355428832E-05,0.00183552995113485,-7.97483111399186E-07,0.000543892829976015,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link3.STL,,大臂-外壳B-bMbf-1;大臂-外壳A-bMbf-1;大臂-主体-ckbf-1;肘部限位bbf-1;通用大电机kcbf-4/大电机通用座kcbf-1;通用大电机kcbf-4/DMDbf-1/DMDDbf-1;通用大电机kcbf-4/DMDbf-1/DMSDbf-1;电机转轴Dkbf-1,coordinate3,A3,joint3,revolute,0.02725,0,-0.0865,3.1416,0,-3.1416,link2,0,0,1,100,1000,-10,10,,,,,,,,
link4,0.0613986983616809,-0.0255416405858853,2.02804813468349E-05,0,0,0,0.479201338101904,0.000215050874433725,-2.01519401845134E-06,-3.88422403971004E-07,0.000230003332928758,7.32599919505107E-08,0.00023079977753662,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link4.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link4.STL,,大小臂连接-bkbf-1;零件3^X7bdbf-1;小电机通用座-ckbf-1;肘部盖子bf-1;4310dm无后盖-1,coordinate4,A4,joint4,revolute,0,-0.02725,0.2165,3.1416,0,0,link3,0,1,0,100,1000,-10,10,,,,,,,,
link5,0.053073844142225,0.00866010413384653,-2.94781779324738E-05,0,0,0,0.58473830258857,0.000381749864611022,-4.93955845805816E-05,-1.19078131960371E-06,0.000688944348389124,-1.8089110447675E-07,0.000646687579251678,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link5.STL,,小臂外壳-bbf-1;小臂电机连接-ckbf-1;4310dm newbf-1;连杆小臂ack右bf-1;手腕限位b右bf-1;RAU1505-bbf-1;RAU1505-bbf-2,coordinate5,A5,joint5,revolute,0.0935,-0.02725,0,0,0,0,link4,1,0,0,100,1000,-10,10,,,,,,,,
link6,4.65934847325711E-05,-0.0370173457953659,-0.00114725698489287,0,0,0,0.332893418432935,0.000117012431411923,4.87831360089771E-08,2.30399239813213E-07,0.000109460825433505,-4.55563355623185E-07,0.00014955773652176,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link6.STL,,4310dm newbf-2;腕部双边bf-1,coordinate6,A6,joint6,revolute,0.1615,0.03725,0,0,0,0,link5,0,1,0,100,1000,-10,10,,,,,,,,
link7,0.090438,-4.593E-05,0.020328,0,0,0,0.60047,0.00042964,-1.8169E-07,-1.126E-05,0.00020562,2.2234E-06,0.00042691,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://X78009RIGHTB/meshes/link7.STL,,夹爪bk5X7-1;手部连接-ckbf-1,coordinate7,A7,joint7,revolute,0,-0.03725,-0.022,0,0,0,link6,0,0,-1,100,1000,-10,10,,,,,,,,
